,title,link,published,Category
10,Pakistan : le Parlement dissous avant de nouvelles élections législatives - Libération,https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5saWJlcmF0aW9uLmZyL2ludGVybmF0aW9uYWwvcGFraXN0YW4tbGUtcGFybGVtZW50LWRpc3NvdXMtYXZhbnQtZGUtbm91dmVsbGVzLWVsZWN0aW9ucy1sZWdpc2xhdGl2ZXMtMjAyMzA4MDlfTVlEVEhPTVVYWkhHWEZLRUg2V1ROWjNXM1Ev0gEA?oc=5,"Wed, 09 Aug 2023 13:56:57 GMT",politique
11,Pakistan : le président dissout le parlement et le gouvernement - Le Point,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmxlcG9pbnQuZnIvbW9uZGUvcGFraXN0YW4tbGUtcHJlc2lkZW50LWRpc3NvdXQtbGUtcGFybGVtZW50LWV0LWxlLWdvdXZlcm5lbWVudC0wOS0wOC0yMDIzLTI1MzExNzJfMjQucGhw0gEeaHR0cHM6Ly9hbXAubGVwb2ludC5mci8yNTMxMTcy?oc=5,"Wed, 09 Aug 2023 20:54:00 GMT",politique
12,L'avenir politique de la France passera par les seniors - Yahoo Actualités,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vZnIubmV3cy55YWhvby5jb20vbGF2ZW5pci1wb2xpdGlxdWUtZnJhbmNlLXBhc3NlcmEtc2VuaW9ycy0xNzAwMDAwNTguaHRtbNIBWWh0dHBzOi8vZnIubmV3cy55YWhvby5jb20vYW1waHRtbC9sYXZlbmlyLXBvbGl0aXF1ZS1mcmFuY2UtcGFzc2VyYS1zZW5pb3JzLTE3MDAwMDA1OC5odG1s?oc=5,"Wed, 09 Aug 2023 17:00:00 GMT",politique
13,Politique : la députée RN Edwige Diaz favorable à la dissolution de Civitas - Sud Ouest,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnN1ZG91ZXN0LmZyL3BvbGl0aXF1ZS9wb2xpdGlxdWUtbGEtZGVwdXRlZS1ybi1lZHdpZ2UtZGlhei1mYXZvcmFibGUtYS1sYS1kaXNzb2x1dGlvbi1kZS1jaXZpdGFzLTE2MjA2MjY3LnBocNIBAA?oc=5,"Tue, 08 Aug 2023 09:27:32 GMT",politique
14,"Incendie en Alsace: la classe politique dit sa ""tristesse"" et apporte ... - BFMTV",https://news.google.com/rss/articles/CBMinQFodHRwczovL3d3dy5iZm10di5jb20vcG9saXRpcXVlL2luY2VuZGllLWVuLWFsc2FjZS1sYS1jbGFzc2UtcG9saXRpcXVlLWRpdC1zYS10cmlzdGVzc2UtZXQtYXBwb3J0ZS1zb24tc291dGllbi1hdXgtZmFtaWxsZXMtZGVzLXZpY3RpbWVzX0FOLTIwMjMwODA5MDQ5Mi5odG1s0gGhAWh0dHBzOi8vd3d3LmJmbXR2LmNvbS9hbXAvcG9saXRpcXVlL2luY2VuZGllLWVuLWFsc2FjZS1sYS1jbGFzc2UtcG9saXRpcXVlLWRpdC1zYS10cmlzdGVzc2UtZXQtYXBwb3J0ZS1zb24tc291dGllbi1hdXgtZmFtaWxsZXMtZGVzLXZpY3RpbWVzX0FOLTIwMjMwODA5MDQ5Mi5odG1s?oc=5,"Wed, 09 Aug 2023 16:55:00 GMT",politique
15,La politique du nouveau gouvernement de Navarre se dessine - Mediabask Actu,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3Lm1lZGlhYmFzay5ldXMvZXUvaW5mb19tYnNrLzIwMjMwODA5L2xhLXBvbGl0aXF1ZS1kdS1ub3V2ZWF1LWdvdXZlcm5lbWVudC1kZS1uYXZhcnJlLXNlLWRlc3NpbmXSAW5odHRwczovL3d3dy5tZWRpYWJhc2suZXVzL2V1L2luZm9fbWJzay9hbXAvMjAyMzA4MDkvbGEtcG9saXRpcXVlLWR1LW5vdXZlYXUtZ291dmVybmVtZW50LWRlLW5hdmFycmUtc2UtZGVzc2luZQ?oc=5,"Wed, 09 Aug 2023 09:36:22 GMT",politique
16,Court éloge du contemplatif en politique - La Vie,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmxhdmllLmZyL2lkZWVzL2Nocm9uaXF1ZXMvY291cnQtZWxvZ2UtZHUtY29udGVtcGxhdGlmLWVuLXBvbGl0aXF1ZS04OTcwOS5waHDSAQA?oc=5,"Tue, 08 Aug 2023 14:04:00 GMT",politique
17,France : Des sénateurs critiquent la politique africaine d'Emmanuel ... - Anadolu Agency | Français,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmFhLmNvbS50ci9mci9tb25kZS9mcmFuY2UtZGVzLXMlQzMlQTluYXRldXJzLWNyaXRpcXVlbnQtbGEtcG9saXRpcXVlLWFmcmljYWluZS1kZW1tYW51ZWwtbWFjcm9uLzI5NjQzNjPSAQA?oc=5,"Wed, 09 Aug 2023 10:53:34 GMT",politique
18,L'Interview Politique du mercredi 9 août 2023 - TF1 INFO,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnRmMWluZm8uZnIvcmVwbGF5LWxjaS92aWRlby1sLWludGVydmlldy1wb2xpdGlxdWUtZHUtbWVyY3JlZGktOS1hb3V0LTIwMjMtMjI2NjEyMC5odG1s0gFmaHR0cHM6Ly93d3cudGYxaW5mby5mci9hbXAvcmVwbGF5LWxjaS92aWRlby1sLWludGVydmlldy1wb2xpdGlxdWUtZHUtbWVyY3JlZGktOS1hb3V0LTIwMjMtMjI2NjEyMC5odG1s?oc=5,"Wed, 09 Aug 2023 06:51:27 GMT",politique
19,Nupes : Philippe Caverivière revient sur l'année politique de l'union ... - RTL,https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5ydGwuZnIvYWN0dS9kZWJhdHMtc29jaWV0ZS9udXBlcy1waGlsaXBwZS1jYXZlcml2aWVyZS1yZXZpZW50LXN1ci1sLWFubmVlLXBvbGl0aXF1ZS1kZS1sLXVuaW9uLWRlLWxhLWdhdWNoZS03OTAwMjg3MTIw0gEA?oc=5,"Wed, 09 Aug 2023 08:42:23 GMT",politique
